2013-10-21 01:08:25 ERR (3): 20131021010825_528  {code:0}  {message:}  {file:C:\wamp\www\tonghoptruyen\library\Core\Utils.php:152}
#0 C:\wamp\www\tonghoptruyen\application\models\Worker\Test.php(25): Core_Utils::test()
#1 C:\wamp\www\tonghoptruyen\console.php(55): Application_Model_Worker_Test->start()
#2 {main}


2013-10-21 01:18:10 INFO (6): 20131021011810_84  begin get comic

2013-10-21 01:18:10 INFO (6): 20131021011810_84  Get comics in url http://truyen.vnsharing.net/TheLoai/Adult/MoiCapNhat

2013-10-21 01:18:10 INFO (6): 20131021011810_84  getContent  http://truyen.vnsharing.net/TheLoai/Adult/MoiCapNhat  begin  

2013-10-21 01:18:10 INFO (6): 20131021011810_84  Count = 1

2013-10-21 01:19:15 INFO (6): 20131021011915_59  Get image from URL http://truyen4.vnsharing.net/Uploads4/Etc/10-20-2013/6330041357389.jpg...

2013-10-21 01:19:15 INFO (6): 20131021011915_59  __construct Core_Upload...  

2013-10-21 01:19:15 INFO (6): 20131021011915_59  insert new chap  begin  {"seo_name":"\u0110\u1ecdc Ichi the Killer Chapter 009 online","name":"\u0110\u1ecdc Ichi the Killer Chapter 009 online","url":"doc-ichi-the-killer-chapter-009-online","chap_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Ichi-the-Killer---------\/Chapter-009?id=107403","comic_id":"1","create_time":"2013-10-21 01:19:15","update_time":"2013-10-21 01:19:15","status":"0"}  

2013-10-21 01:19:16 INFO (6): 20131021011915_59  insert new chap  end  1  

2013-10-21 01:19:17 INFO (6): 20131021011915_59  getChapters  end  return = 1  

2013-10-21 01:19:17 INFO (6): 20131021011915_59  Waiting 3s...

2013-10-21 01:19:20 INFO (6): 20131021011915_59  getChapters  begin  {"id":"2","comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Mujaki-no-Rakuen----?id=8995","source_id":"3","sid":null,"name":"Mujaki no Rakuen","seo_name":"Mujaki no Rakuen","url":"mujaki-no-rakuen","feature_image":null,"feature_image_src":null,"author":null,"description":null,"meta_keywords":null,"meta_description":null,"main_cat":"1","fetch_type":"1","num_fetch":"0","num_fetch_error":"0","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10","last_grab_time":null,"status":"1"}  

2013-10-21 01:19:20 INFO (6): 20131021011915_59  getContent  http://truyen.vnsharing.net/Truyen/Mujaki-no-Rakuen----?id=8995&confirm=yes  begin  

2013-10-21 01:19:20 INFO (6): 20131021011915_59  Count = 1

2013-10-21 01:19:20 INFO (6): 20131021011915_59  getContent success  

2013-10-21 01:19:20 INFO (6): 20131021011915_59  Get image from URL http://truyen4.vnsharing.net/Uploads4/Etc/10-20-2013/5693311357388.jpg...

2013-10-21 01:19:20 INFO (6): 20131021011915_59  insert new chap  begin  {"seo_name":"\u0110\u1ecdc Mujaki no Rakuen Chap 001 - Tr\u1edf v\u1ec1 qu\u00e1 kh\u1ee9 online","name":"\u0110\u1ecdc Mujaki no Rakuen Chap 001 - Tr\u1edf v\u1ec1 qu\u00e1 kh\u1ee9 online","url":"doc-mujaki-no-rakuen-chap-001-tro-ve-qua-khu-online","chap_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Mujaki-no-Rakuen----\/Chap-001---Tro-ve-qua-khu?id=107368","comic_id":"2","create_time":"2013-10-21 01:19:20","update_time":"2013-10-21 01:19:20","status":"0"}  

2013-10-21 01:19:21 INFO (6): 20131021011915_59  insert new chap  end  1  

2013-10-21 01:19:22 INFO (6): 20131021011915_59  insert new chap  begin  {"seo_name":"\u0110\u1ecdc Mujaki no Rakuen Chap 002 - Thi\u00ean \u0110\u01b0\u1eddng k\u1ef3 di\u1ec7u online","name":"\u0110\u1ecdc Mujaki no Rakuen Chap 002 - Thi\u00ean \u0110\u01b0\u1eddng k\u1ef3 di\u1ec7u online","url":"doc-mujaki-no-rakuen-chap-002-thien-duong-ky-dieu-online","chap_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Mujaki-no-Rakuen----\/Chap-002---Thien-Duong-ky-dieu?id=107369","comic_id":"2","create_time":"2013-10-21 01:19:20","update_time":"2013-10-21 01:19:20","status":"0"}  

2013-10-21 01:19:22 INFO (6): 20131021011915_59  insert new chap  end  1  

2013-10-21 01:19:23 INFO (6): 20131021011915_59  insert new chap  begin  {"seo_name":"\u0110\u1ecdc Mujaki no Rakuen Chap 003 - Thi\u00ean \u0111\u01b0\u1eddng c\u1ee7a s\u1ef1 \u1ea5m \u00e1p online","name":"\u0110\u1ecdc Mujaki no Rakuen Chap 003 - Thi\u00ean \u0111\u01b0\u1eddng c\u1ee7a s\u1ef1 \u1ea5m \u00e1p online","url":"doc-mujaki-no-rakuen-chap-003-thien-duong-cua-su-am-ap-online","chap_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Mujaki-no-Rakuen----\/Chap-003---Thien-duong-cua-su-am-ap?id=107370","comic_id":"2","create_time":"2013-10-21 01:19:20","update_time":"2013-10-21 01:19:20","status":"0"}  

2013-10-21 01:19:24 INFO (6): 20131021011915_59  insert new chap  end  1  

